id;url;business_target;target_words;blocked_words;title;description;location;is_active;created;updated
1;https://retha.name;true;Chips Handmade Self-enabling;SCSI deposit Functionality;SCSI Managed;hacking User-centric Cambridgeshire;clicks-and-mortar morph bluetooth;true;2022-04-06T12:38:02;2022-04-06T16:00:46
2;https://lulu.net;true;strategy primary copy;lime Keyboard Avon;Product deposit;moderator Accounts magnetic;Functionality;true;2022-04-06T15:02:53;2022-04-06T20:18:23
3;http://benny.name;true;back-end disintermediate;cross-platform generate;customized user-centric;cross-platform invoice;Avon;false;2022-04-07T00:07:40;2022-04-07T06:36:32
4;https://chad.info;true;brand evolve override;Cotton;AI Row;feed Romania;Steel Loan;true;2022-04-07T08:06:47;2022-04-06T22:43:07
5;https://asa.info;false;Mississippi Drives deposit;Malaysian;Manager;Monitored;JSON Practical Chair;false;2022-04-06T20:19:29;2022-04-06T21:26:44
6;http://zack.net;true;hacking programming Intranet;Profit-focused;iterate Alaska connect;Loan;Arkansas paradigms Namibia;true;2022-04-06T13:16:22;2022-04-07T07:36:21
7;http://kip.org;true;Hills Producer;Unbranded;solid payment;Re-contextualized Director generating;Fresh;false;2022-04-07T04:20:30;2022-04-06T21:44:29
8;https://gilbert.biz;true;fuchsia payment Legacy;Specialist payment;Pakistan;Texas Cotton;Data mindshare panel;false;2022-04-06T23:06:36;2022-04-07T02:36:01
9;http://greyson.name;false;Unbranded Face;Shoes grow azure;Networked;Gorgeous Towels;calculating;false;2022-04-06T22:33:09;2022-04-07T07:58:58
10;http://amber.com;false;Clothing Usability Track;SDD Prairie Virginia;bus wireless;TCP convergence 17(E.U.A.-17);Soft magenta Handmade;true;2022-04-06T20:37:53;2022-04-07T08:19:17
